PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,ABSTRACT SCREEN,INCLUDE? ,SAMPLE SIZE,COUNTRY,TIME POINTS,TIME PERIOD,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1438,Sudan,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1416,Ivory Coast,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1395,South Africa,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1366,Liberia,,,
32375776,Quantifying the impact of physical distance measures on the transmission of COVID-19 in the UK,"Jarvis CI, Van Zandvoort K, Gimma A, Prem K; CMMID COVID-19 working group; Klepac P, Rubin GJ, Edmunds WJ.",BMC Med. 2020 May 7;18(1):124. doi: 10.1186/s12916-020-01597-8.,Jarvis CI,BMC Med,2020,05/08/2020,PMC7202922,,10.1186/s12916-020-01597-8,YES,YES,1356,UK,,,
34649541,Individual social contact data and population mobility data as early markers of SARS-CoV-2 transmission dynamics during the first wave in Germany-an analysis based on the COVIMOD study,,,Tomori DV,BMC Med,2021,,,,,MAYBE,YES,1356,Germany,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1351,DRC,,,
18366252,Social contacts and mixing patterns relevant to the spread of infectious diseases,,,Mossong J,PLoS Med,2008,,,,,YES,YES,1341,DE,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1338,Ghana,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1333,Zimbabwe,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1314,Mozambique,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1304,Nigeria,,,
35606703,Time trends in social contacts before and during the COVID-19 pandemic: the CONNECT study,,,Drolet M,BMC Public Health,2022,,,,,YES,YES,1291,Canada,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1290,Zambia,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1286,Uganda,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1283,Guinea,,,
30963910,Household members do not contact each other at random: implications for infectious disease modelling,"Goeyvaerts N, Santermans E, Potter G, Torneri A, Van Kerckhove K, Willem L, Aerts M, Beutels P, Hens N.",Proc Biol Sci. 2018 Dec 19;285(1893):20182201. doi: 10.1098/rspb.2018.2201.,Goeyvaerts N,Proc Biol Sci,2018,04/10/2019,PMC6304037,,10.1098/rspb.2018.2201,YES,YES,1266,Belgium,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1259,Senegal,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1218,Tunisia,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1206,Egypt,,,
35691100,"Social mixing patterns relevant to infectious diseases spread by close contact in urban Blantyre, Malawi","Thindwa D, Jambo KC, Ojal J, MacPherson P, Dennis Phiri M, Pinsent A, Khundi M, Chiume L, Gallagher KE, Heyderman RS, Corbett EL, French N, Flasche S.",Epidemics. 2022 Sep;40:100590. doi: 10.1016/j.epidem.2022.100590. Epub 2022 Jun 8.,Thindwa D,Epidemics,2022,06/12/2022,PMC9176177,,10.1016/j.epidem.2022.100590,YES,YES,1201,Malawi,,,
28801623,Social contact patterns relevant to the spread of respiratory infectious diseases in Hong Kong,"Leung K, Jit M, Lau EHY, Wu JT.",Sci Rep. 2017 Aug 11;7(1):7974. doi: 10.1038/s41598-017-08241-1.,Leung K,Sci Rep,2017,8/13/17,PMC5554254,,10.1038/s41598-017-08241-1,YES,YES,1149,Hong Kong,,,
36221094,Characterising social contacts under COVID-19 control measures in Africa,,,Dobreva Z,BMC Med,2022,,,,,YES,YES,1123,Kenya,,,
34649541,Individual social contact data and population mobility data as early markers of SARS-CoV-2 transmission dynamics during the first wave in Germany-an analysis based on the COVIMOD study,,,Tomori DV,BMC Med,2021,,,,,MAYBE,YES,1081,Germany,,,
18366252,Social contacts and mixing patterns relevant to the spread of infectious diseases,,,Mossong J,PLoS Med,2008,,,,,YES,YES,1051,LU,,,
34732732,Individual's daily behaviour and intergenerational mixing in different social contexts of Kenya,"Del Fava E, Adema I, Kiti MC, Poletti P, Merler S, Nokes DJ, Manfredi P, Melegaro A.",Sci Rep. 2021 Nov 3;11(1):21589. doi: 10.1038/s41598-021-00799-1.,Del Fava E,Sci Rep,2021,11/04/2021,PMC8566563,,10.1038/s41598-021-00799-1,MAYBE,YES,1047,KENYA,,,
18366252,Social contacts and mixing patterns relevant to the spread of infectious diseases,,,Mossong J,PLoS Med,2008,,,,,YES,YES,1012,GB,,,
18366252,Social contacts and mixing patterns relevant to the spread of infectious diseases,,,Mossong J,PLoS Med,2008,,,,,YES,YES,1012,PL,,,
18366252,Social contacts and mixing patterns relevant to the spread of infectious diseases,,,Mossong J,PLoS Med,2008,,,,,YES,YES,1006,FI,,,
29739474,"Social contact patterns of infants in deciding vaccination strategy: a prospective, cross-sectional, single-centre study","Oguz MM, Camurdan AD, Aksakal FN, Akcaboy M, Altinel Acoglu E.",Epidemiol Infect. 2018 Jul;146(9):1157-1166. doi: 10.1017/S0950268818001048. Epub 2018 May 9.,Oguz MM,Epidemiol Infect,2018,05/10/2018,PMC9134280,,10.1017/S0950268818001048,YES,YES,1006,Turkey,,,
21347264,Social contact patterns in Vietnam and implications for the control of infectious diseases,"Horby P, Pham QT, Hens N, Nguyen TT, Le QM, Dang DT, Nguyen ML, Nguyen TH, Alexander N, Edmunds WJ, Tran ND, Fox A, Nguyen TH.",PLoS One. 2011 Feb 14;6(2):e16965. doi: 10.1371/journal.pone.0016965.,Horby P,PLoS One,2011,2/25/11,PMC3038933,,10.1371/journal.pone.0016965,YES,,865,VIETNAM,,,
18366252,Social contacts and mixing patterns relevant to the spread of infectious diseases,,,Mossong J,PLoS Med,2008,,,,,YES,YES,849,IT,,,
20636597,Self-reported symptoms of infection among travelers departing from Sydney and Bangkok airports,"Heywood AE, Watkins RE, Pattanasin S, Iamsirithaworn S, Nilvarangkul K, Macintyre CR.",J Travel Med. 2010 Jul-Aug;17(4):243-9. doi: 10.1111/j.1708-8305.2010.00422.x.,Heywood AE,J Travel Med,2010,7/20/10,,,10.1111/j.1708-8305.2010.00422.x,MAYBE,YES,843,AUSTRALIA,,,
25009062,Social contacts and the locations in which they occur as risk factors for influenza infection,"Kwok KO, Cowling BJ, Wei VW, Wu KM, Read JM, Lessler J, Cummings DA, Peiris JS, Riley S.",Proc Biol Sci. 2014 Aug 22;281(1789):20140709. doi: 10.1098/rspb.2014.0709.,Kwok KO,Proc Biol Sci,2014,07/11/2014,PMC4100506,,10.1098/rspb.2014.0709,MAYBE,YES,770,Hong Kong,,,
18366252,Social contacts and mixing patterns relevant to the spread of infectious diseases,,,Mossong J,PLoS Med,2008,,,,,YES,YES,750,BE,,,
34083593,Contacts and behaviours of university students during the COVID-19 pandemic at the start of the 2020/2021 academic year,"Nixon E, Trickey A, Christensen H, Finn A, Thomas A, Relton C, Montgomery C, Hemani G, Metz J, Walker JG, Turner K, Kwiatkowska R, Sauchelli S, Danon L, Brooks-Pollock E.",Sci Rep. 2021 Jun 3;11(1):11728. doi: 10.1038/s41598-021-91156-9.,Nixon E,Sci Rep,2021,06/04/2021,PMC8175593,,10.1038/s41598-021-91156-9,YES,YES,740,UK,,,
33496221,"Effects of Social Distancing Measures during the First Epidemic Wave of Severe Acute Respiratory Syndrome Infection, Greece","Sypsa V, Roussos S, Paraskevis D, Lytras T, Tsiodras S, Hatzakis A.",Emerg Infect Dis. 2021 Feb;27(2):452-462. doi: 10.3201/eid2702.203412.,Sypsa V,Emerg Infect Dis,2021,1/26/21,PMC7853557,,10.3201/eid2702.203412,MAYBE,YES,602,Greece,,,
36471295,Population-wide measures due to the COVID-19 pandemic and exposome changes in the general population of Cyprus in March-May 2020,"Andrianou XD, Konstantinou C, Rodríguez-Flores MA, Papadopoulos F, Makris KC.",BMC Public Health. 2022 Dec 6;22(1):2279. doi: 10.1186/s12889-022-14468-z.,Andrianou XD,BMC Public Health,2022,12/05/2022,PMC9724426,,10.1186/s12889-022-14468-z,MAYBE,YES,594,Cyprus,,,
27266848,Design and methods of a social network isolation study for reducing respiratory infection transmission: The eX-FLU cluster randomized trial,"Aiello AE, Simanek AM, Eisenberg MC, Walsh AR, Davis B, Volz E, Cheng C, Rainey JJ, Uzicanin A, Gao H, Osgood N, Knowles D, Stanley K, Tarter K, Monto AS.",Epidemics. 2016 Jun;15:38-55. doi: 10.1016/j.epidem.2016.01.001. Epub 2016 Feb 1.,Aiello AE,Epidemics,2016,06/09/2016,PMC4903923,NIHMS761669,10.1016/j.epidem.2016.01.001,MAYBE,YES,590,USA,,,
26972512,"Comparison of the social contact patterns among school-age children in specific seasons, locations, and times","Luh DL, You ZS, Chen SC.",Epidemics. 2016 Mar;14:36-44. doi: 10.1016/j.epidem.2015.09.002. Epub 2015 Oct 3.,Luh DL,Epidemics,2016,3/15/16,,,10.1016/j.epidem.2015.09.002,YES,YES,584,Taiwan,,,
22768066,Indoor social networks in a South African township: potential contribution of location to tuberculosis transmission,"Wood R, Racow K, Bekker LG, Morrow C, Middelkoop K, Mark D, Lawn SD.",PLoS One. 2012;7(6):e39246. doi: 10.1371/journal.pone.0039246. Epub 2012 Jun 29.,Wood R,PLoS One,2012,07/07/2012,PMC3387133,,10.1371/journal.pone.0039246,MAYBE,YES,571,South Africa,,,
29642869,Characteristics of human encounters and social mixing patterns relevant to infectious diseases spread by close contact: a survey in Southwest Uganda,"le Polain de Waroux O, Cohuet S, Ndazima D, Kucharski AJ, Juan-Giner A, Flasche S, Tumwesigye E, Arinaitwe R, Mwanga-Amumpaire J, Boum Y 2nd, Nackers F, Checchi F, Grais RF, Edmunds WJ.",BMC Infect Dis. 2018 Apr 11;18(1):172. doi: 10.1186/s12879-018-3073-1.,le Polain de Waroux O,BMC Infect Dis,2018,4/13/18,PMC5896105,,10.1186/s12879-018-3073-1,YES,YES,566,Uganda,,,
30054196,Identifying human encounters that shape the transmission of Streptococcus pneumoniae and other acute respiratory infections,"le Polain de Waroux O, Flasche S, Kucharski AJ, Langendorf C, Ndazima D, Mwanga-Amumpaire J, Grais RF, Cohuet S, Edmunds WJ.",Epidemics. 2018 Dec;25:72-79. doi: 10.1016/j.epidem.2018.05.008. Epub 2018 May 19.,le Polain de Waroux O,Epidemics,2018,7/29/18,PMC6227246,,10.1016/j.epidem.2018.05.008,YES,YES,566,Uganda,,,
33277915,Social mixing and risk exposures for SARS-CoV-2 infections in elderly persons,"Haag C, Höglinger M, Moser A, Hämmig O, Puhan M, von Wyl V.",Swiss Med Wkly. 2020 Dec 5;150:w20416. doi: 10.4414/smw.2020.20416. eCollection 2020 Nov 30.,Haag C,Swiss Med Wkly,2020,12/05/2020,,,10.4414/smw.2020.20416,YES,YES,526,Switzerland,,,
36103782,Social contacts and other risk factors for respiratory infections among internally displaced people in Somaliland,"van Zandvoort K, Bobe MO, Hassan AI, Abdi MI, Ahmed MS, Soleman SM, Warsame MY, Wais MA, Diggle E, McGowan CR, Satzke C, Mulholland K, Egeh MM, Hassan MM, Hergeeye MA, Eggo RM, Checchi F, Flasche S.",Epidemics. 2022 Dec;41:100625. doi: 10.1016/j.epidem.2022.100625. Epub 2022 Aug 29.,van Zandvoort K,Epidemics,2022,9/14/22,,,10.1016/j.epidem.2022.100625,YES,YES,504,Somaliland,,,
30044816,Structure and consistency of self-reported social contact networks in British secondary schools,"Kucharski AJ, Wenham C, Brownlee P, Racon L, Widmer N, Eames KTD, Conlan AJK.",PLoS One. 2018 Jul 25;13(7):e0200090. doi: 10.1371/journal.pone.0200090. eCollection 2018.,Kucharski AJ,PLoS One,2018,7/26/18,PMC6059423,,10.1371/journal.pone.0200090,YES,YES,460,UK,,,
